Time;Moisture;temperature
2014.03.20 20:05:16;572;7.0
2014.03.20 20:05:21;570;7.0
2014.03.20 20:05:26;571;7.0
2014.03.20 20:05:31;566;7.0
2014.03.20 20:05:36;569;7.0
2014.03.20 20:05:41;571;7.0
2014.03.20 20:05:46;585;7.0
2014.03.20 20:05:51;577;7.0
2014.03.20 20:05:56;575;7.0
2014.03.20 20:06:01;573;7.0
2014.03.20 20:06:06;567;7.0
2014.03.20 20:06:11;563;7.0
2014.03.20 20:06:16;562;7.0
2014.03.20 20:06:21;560;7.0
2014.03.20 20:06:26;557;7.0
2014.03.20 20:06:31;563;7.0
2014.03.20 20:06:36;562;7.0
2014.03.20 20:06:41;564;7.0
2014.03.20 20:06:46;575;7.0
2014.03.20 20:06:52;574;7.0
2014.03.20 20:06:57;579;7.0
2014.03.20 20:07:02;583;7.0
2014.03.20 20:07:07;582;7.0
2014.03.20 20:07:12;584;7.0
2014.03.20 20:07:17;583;7.0
2014.03.20 20:07:22;590;7.0
2014.03.20 20:07:27;585;7.0
2014.03.20 20:07:32;577;7.0
2014.03.20 20:07:37;573;7.0
2014.03.20 20:07:42;570;7.0
2014.03.20 20:07:47;567;7.0
2014.03.20 20:07:52;568;7.0
2014.03.20 20:07:57;592;7.0
2014.03.20 20:08:02;590;7.0
2014.03.20 20:08:07;584;7.0
2014.03.20 20:08:12;583;7.0
2014.03.20 20:08:17;583;7.0
2014.03.20 20:08:22;584;7.0
2014.03.20 20:08:27;582;7.0
2014.03.20 20:08:32;585;7.0
2014.03.20 20:08:37;578;7.0
2014.03.20 20:08:42;576;7.0
2014.03.20 20:08:47;577;7.0
2014.03.20 20:08:52;574;7.0
2014.03.20 20:08:57;572;7.0
2014.03.20 20:09:02;568;7.0
2014.03.20 20:09:07;569;7.0
2014.03.20 20:09:12;571;7.0
2014.03.20 20:09:17;564;7.0
2014.03.20 20:09:22;562;7.0
2014.03.20 20:09:27;570;7.0
2014.03.20 20:09:32;567;7.0
2014.03.20 20:09:37;567;7.0
2014.03.20 20:09:42;565;7.0
2014.03.20 20:09:47;564;7.0
2014.03.20 20:09:52;568;7.0
2014.03.20 20:09:57;570;7.0
2014.03.20 20:10:02;567;7.0
2014.03.20 20:10:07;567;7.0
2014.03.20 20:10:12;565;7.0
2014.03.20 20:10:17;564;7.0
2014.03.20 20:10:22;563;7.0
2014.03.20 20:10:27;562;7.0
2014.03.20 20:10:32;559;7.0
2014.03.20 20:10:37;558;7.0
2014.03.20 20:10:42;557;7.0
2014.03.20 20:10:47;556;7.0
2014.03.20 20:10:52;553;7.0
2014.03.20 20:10:57;552;7.0
2014.03.20 20:11:02;548;7.0
2014.03.20 20:11:07;546;7.0
2014.03.20 20:11:12;544;7.0
2014.03.20 20:11:17;542;7.0
2014.03.20 20:11:22;541;7.0
2014.03.20 20:11:27;539;7.0
2014.03.20 20:11:32;540;7.0
2014.03.20 20:11:37;541;7.0
2014.03.20 20:11:42;548;7.0
2014.03.20 20:11:48;548;7.0
2014.03.20 20:11:53;546;7.0
2014.03.20 20:11:58;545;7.0
2014.03.20 20:12:03;544;7.0
2014.03.20 20:12:08;546;7.0
2014.03.20 20:12:13;544;7.0
2014.03.20 20:12:18;542;7.0
2014.03.20 20:12:23;543;7.0
2014.03.20 20:12:28;544;7.0
2014.03.20 20:12:33;543;7.0
2014.03.20 20:12:38;540;7.0
2014.03.20 20:12:43;539;7.0
2014.03.20 20:12:48;537;7.0
2014.03.20 20:12:53;535;7.0
2014.03.20 20:12:58;534;7.0
2014.03.20 20:13:03;533;7.0
2014.03.20 20:13:08;531;7.0
2014.03.20 20:13:13;533;7.0
2014.03.20 20:13:18;532;7.0
2014.03.20 20:13:23;530;7.0
2014.03.20 20:13:28;531;7.0
2014.03.20 20:13:33;527;7.0
2014.03.20 20:13:38;526;7.0
2014.03.20 20:13:43;531;7.0
2014.03.20 20:13:48;530;7.0
2014.03.20 20:13:53;530;7.0
2014.03.20 20:13:58;528;7.0
2014.03.20 20:14:03;525;7.0
2014.03.20 20:14:08;525;7.0
2014.03.20 20:14:13;524;7.0
2014.03.20 20:14:18;522;7.0
2014.03.20 20:14:23;525;7.0
2014.03.20 20:14:28;521;7.0
2014.03.20 20:14:33;522;7.0
2014.03.20 20:14:38;521;7.0
2014.03.20 20:14:43;519;7.0
2014.03.20 20:14:48;517;7.0
2014.03.20 20:14:53;518;7.0
2014.03.20 20:14:58;516;7.0
2014.03.20 20:15:03;517;7.0
2014.03.20 20:15:08;513;7.0
2014.03.20 20:15:13;514;7.0
2014.03.20 20:15:18;515;7.0
2014.03.20 20:15:23;515;7.0
2014.03.20 20:15:28;509;7.0
2014.03.20 20:15:33;508;7.0
2014.03.20 20:15:38;510;7.0
2014.03.20 20:15:43;509;7.0
2014.03.20 20:15:48;510;7.0
2014.03.20 20:15:53;507;7.0
2014.03.20 20:15:58;510;7.0
2014.03.20 20:16:03;507;7.0
2014.03.20 20:16:08;504;7.0
2014.03.20 20:16:13;508;7.0
2014.03.20 20:16:18;506;7.0
2014.03.20 20:16:23;505;7.0
2014.03.20 20:16:28;508;7.0
2014.03.20 20:16:33;507;7.0
2014.03.20 20:16:38;512;7.0
2014.03.20 20:16:43;512;7.0
2014.03.20 20:16:48;513;7.0
2014.03.20 20:16:53;512;7.0
2014.03.20 20:16:58;513;7.0
2014.03.20 20:17:03;508;7.0
2014.03.20 20:17:08;507;7.0
2014.03.20 20:17:13;506;7.0
2014.03.20 20:17:18;509;7.0
2014.03.20 20:17:23;513;7.0
2014.03.20 20:17:28;509;7.0
2014.03.20 20:17:33;510;7.0
2014.03.20 20:17:38;513;7.0
2014.03.20 20:17:43;512;7.0
2014.03.20 20:17:48;507;7.0
2014.03.20 20:17:53;518;7.0
2014.03.20 20:17:58;521;7.0
2014.03.20 20:18:03;515;7.0
2014.03.20 20:18:08;511;7.0
2014.03.20 20:18:13;508;7.0
2014.03.20 20:18:18;507;7.0
2014.03.20 20:18:23;512;7.0
2014.03.20 20:18:28;503;7.0
2014.03.20 20:18:33;502;7.0
2014.03.20 20:18:38;497;7.0
2014.03.20 20:18:43;496;7.0
2014.03.20 20:18:48;495;7.0
2014.03.20 20:18:53;492;7.0
2014.03.20 20:18:58;491;7.0
2014.03.20 20:19:03;492;7.0
2014.03.20 20:19:08;489;7.0
2014.03.20 20:19:13;488;7.0
2014.03.20 20:19:18;485;7.0
2014.03.20 20:19:23;487;7.0
2014.03.20 20:19:28;490;7.0
2014.03.20 20:19:33;500;7.0
2014.03.20 20:19:38;492;7.0
2014.03.20 20:19:43;486;7.0
2014.03.20 20:19:48;478;7.0
2014.03.20 20:19:53;475;7.0
2014.03.20 20:19:58;472;7.0
2014.03.20 20:20:03;491;7.0
2014.03.20 20:20:08;482;7.0
2014.03.20 20:20:13;492;7.0
2014.03.20 20:20:18;476;7.0
2014.03.20 20:20:23;487;7.0
2014.03.20 20:20:28;490;7.0
2014.03.20 20:20:33;494;7.0
2014.03.20 20:20:38;493;7.0
2014.03.20 20:20:43;489;7.0
2014.03.20 20:20:48;497;7.0
2014.03.20 20:20:53;496;7.0
2014.03.20 20:20:58;497;7.0
2014.03.20 20:21:03;493;7.0
2014.03.20 20:21:08;497;7.0
2014.03.20 20:21:13;511;7.0
2014.03.20 20:21:18;504;7.0
2014.03.20 20:21:23;514;7.0
2014.03.20 20:21:28;524;7.0
2014.03.20 20:21:33;539;7.0
2014.03.20 20:21:38;541;7.0
2014.03.20 20:21:43;546;7.0
2014.03.20 20:21:48;550;7.0
2014.03.20 20:21:53;546;7.0
2014.03.20 20:21:58;548;7.0
2014.03.20 20:22:03;537;7.0
2014.03.20 20:22:08;532;7.0
2014.03.20 20:22:13;534;7.0
2014.03.20 20:22:18;532;7.0
